pdq,seasonal_pdq,hold_out,MAPE
"(0, 1, 1)","(0, 1, 2, 12)",6,82.42845729024249
"(0, 1, 1)","(0, 1, 2, 12)",9,33556116110.703594
"(0, 1, 1)","(0, 1, 2, 12)",12,1.1792055390092393
"(0, 1, 1)","(0, 2, 0, 12)",6,0.12462183979062579
"(0, 1, 1)","(0, 2, 0, 12)",9,0.09898588369308123
"(0, 1, 1)","(0, 2, 0, 12)",12,0.29864931077373263
"(0, 1, 1)","(0, 2, 1, 12)",6,0.0742977804676229
"(0, 1, 1)","(0, 2, 1, 12)",9,0.04173983072396459
"(0, 1, 1)","(0, 2, 1, 12)",12,0.1463199114930291
"(0, 1, 1)","(0, 2, 2, 12)",6,0.1900977844570572
"(0, 1, 1)","(0, 2, 2, 12)",9,1.1066985895297683
"(0, 1, 1)","(0, 2, 2, 12)",12,0.4826329363296343
"(0, 1, 1)","(1, 0, 0, 12)",6,0.010053400911436325
"(0, 1, 1)","(1, 0, 0, 12)",9,0.024442721168782933
"(0, 1, 1)","(1, 0, 0, 12)",12,0.10879866647601315
"(0, 1, 1)","(1, 0, 1, 12)",6,0.010209474303052695
"(0, 1, 1)","(1, 0, 1, 12)",9,0.024629077539706803
"(0, 1, 1)","(1, 0, 1, 12)",12,0.10668878783738515
"(0, 1, 1)","(1, 0, 2, 12)",6,0.010897066006389929
"(0, 1, 1)","(1, 0, 2, 12)",9,0.022256659716663015
"(0, 1, 1)","(1, 0, 2, 12)",12,0.11961657008931602
"(0, 1, 1)","(1, 1, 0, 12)",6,0.035029332239491506
"(0, 1, 1)","(1, 1, 0, 12)",9,0.02915497123101686
"(0, 1, 1)","(1, 1, 0, 12)",12,0.04177418735294363
"(0, 1, 1)","(1, 1, 1, 12)",6,0.014825988668005531
"(0, 1, 1)","(1, 1, 1, 12)",9,0.0406654490202129
"(0, 1, 1)","(1, 1, 1, 12)",12,0.07358890344969608
"(0, 1, 1)","(1, 1, 2, 12)",6,295.3351296175051
"(0, 1, 1)","(1, 1, 2, 12)",9,14.947052723500384
"(0, 1, 1)","(1, 1, 2, 12)",12,4.401401812234261
"(0, 1, 1)","(1, 2, 0, 12)",6,0.10174339699380745
"(0, 1, 1)","(1, 2, 0, 12)",9,0.06632777933458688
"(0, 1, 1)","(1, 2, 0, 12)",12,0.07811053243015366
